969,9.69,-0.944524,2.735905,0.930919,-0.570227,-0.194061,-0.721851,0.340753
970,9.7,-0.949638,2.736723,0.930919,-0.567279,-0.193129,-0.725672,0.338077
971,9.71,-0.954901,2.737648,0.930886,-0.562825,-0.193503,-0.729927,0.336141
972,9.72,-0.960322,2.738668,0.931184,-0.557982,-0.19434,-0.734361,0.334069
973,9.73,-0.965688,2.73971,0.931694,-0.553618,-0.196172,-0.737051,0.334334
974,9.74,-0.970774,2.740823,0.932132,-0.549983,-0.197663,-0.738923,0.335322
975,9.75,-0.975879,2.741784,0.9328,-0.546098,-0.19906,-0.742409,0.333138
976,9.76,-0.980968,2.742764,0.933368,-0.542956,-0.199847,-0.744992,0.332035
977,9.77,-0.985688,2.743731,0.934133,-0.538612,-0.199393,-0.749343,0.329583
978,9.78,-0.990802,2.744515,0.934621,-0.535349,-0.200605,-0.751668,0.328869
979,9.79,-0.995943,2.7452,0.935113,-0.53175,-0.201714,-0.754196,0.32824
980,9.8,-1.001131,2.745832,0.935568,-0.527967,-0.202421,-0.756921,0.327638
981,9.81,-1.006371,2.746336,0.935892,-0.524028,-0.203416,-0.75955,0.327262
982,9.82,-1.011552,2.746763,0.936224,-0.519909,-0.203831,-0.762523,0.326659
983,9.83,-1.017166,2.747297,0.936364,-0.520504,-0.200604,-0.764756,0.322462
984,9.84,-1.022138,2.747432,0.936186,-0.513027,-0.20524,-0.767617,0.324721
985,9.85,-1.027357,2.747652,0.93597,-0.508826,-0.206794,-0.769845,0.325069
986,9.86,-1.032591,2.74784,0.935635,-0.505184,-0.207719,-0.771723,0.325709
987,9.87,-1.037799,2.748028,0.935171,-0.501604,-0.208931,-0.773461,0.326343
988,9.88,-1.043042,2.748173,0.934533,-0.498569,-0.210088,-0.775026,0.326537
989,9.89,-1.048179,2.748379,0.933995,-0.49506,-0.211176,-0.776614,0.3274
990,9.9,-1.053324,2.748577,0.933527,-0.491917,-0.211774,-0.778321,0.327699
991,9.91,-1.058971,2.748955,0.933028,-0.493486,-0.208892,-0.779296,0.324859
992,9.92,-1.063905,2.748944,0.93228,-0.487627,-0.213434,-0.780721,0.327324
993,9.93,-1.069159,2.749085,0.931734,-0.485187,-0.214705,-0.781938,0.327212
994,9.94,-1.074621,2.749203,0.931197,-0.484197,-0.21517,-0.782982,0.325876
995,9.95,-1.080065,2.749395,0.930756,-0.482538,-0.215459,-0.784225,0.325153
996,9.96,-1.085463,2.749604,0.930229,-0.481528,-0.215823,-0.785359,0.323671
997,9.97,-1.091064,2.749774,0.929599,-0.48162,-0.215936,-0.786063,0.321744
